# Data for individuals that have both genotypes and trait values
# N = 140
# 
# KCF
# 04/06/21
ind_code	Pal	Ste	ol	lin	sat	unsat	lat	lon	bio1	bio2	bio3	bio4	bio5	bio6	bio7	bio8	bio9	bio10	bio11	bio12	bio13	bio14	bio15	bio16	bio17	bio18	bio19	pop_code	usda_pop	deme	block
592316-10	3.41338	1.20157	38.10472	57.28033	4.61495	95.38505	50.66	-105.66472222	30	125	26	12076	264	-214	478	154	-35	177	-133	368	66	15	52	163	52	159	53	SAS3	592316	north	2
592316-11	3.1908	1.15991	35.39285	60.25644	4.35071	95.64929	50.66	-105.66472222	30	125	26	12076	264	-214	478	154	-35	177	-133	368	66	15	52	163	52	159	53	SAS3	592316	north	2
592316-12	3.50465	1.26149	33.61628	61.61758	4.76614	95.23386	50.66	-105.66472222	30	125	26	12076	264	-214	478	154	-35	177	-133	368	66	15	52	163	52	159	53	SAS3	592316	north	3
592316-13	2.982	0.377	52.894	43.648	3.359	96.542	50.66	-105.66472222	30	125	26	12076	264	-214	478	154	-35	177	-133	368	66	15	52	163	52	159	53	SAS3	592316	north	3
592316-14	3.95809	0.55882	43.56633	51.91676	4.51691	95.48309	50.66	-105.66472222	30	125	26	12076	264	-214	478	154	-35	177	-133	368	66	15	52	163	52	159	53	SAS3	592316	north	3
592316-15	2.03	0.575	42.68	54.715	2.605	97.395	50.66	-105.66472222	30	125	26	12076	264	-214	478	154	-35	177	-133	368	66	15	52	163	52	159	53	SAS3	592316	north	3
592316-16	3.44777	0.38974	40.09903	56.06346	3.83751	96.16249	50.66	-105.66472222	30	125	26	12076	264	-214	478	154	-35	177	-133	368	66	15	52	163	52	159	53	SAS3	592316	north	3
592316-17	2.477	0.552	36.499	60.472	3.029	96.971	50.66	-105.66472222	30	125	26	12076	264	-214	478	154	-35	177	-133	368	66	15	52	163	52	159	53	SAS3	592316	north	4
592316-2	3.21069	0.42674	45.64225	50.72032	3.63743	96.36257	50.66	-105.66472222	30	125	26	12076	264	-214	478	154	-35	177	-133	368	66	15	52	163	52	159	53	SAS3	592316	north	1
592316-3	2.509	0.434	37.455	59.602	2.943	97.057	50.66	-105.66472222	30	125	26	12076	264	-214	478	154	-35	177	-133	368	66	15	52	163	52	159	53	SAS3	592316	north	1
592316-4	3.579	0	28.916	67.505	3.579	96.421	50.66	-105.66472222	30	125	26	12076	264	-214	478	154	-35	177	-133	368	66	15	52	163	52	159	53	SAS3	592316	north	1
592316-5	2.86671	1.84658	47.15167	48.13504	4.71329	95.28671	50.66	-105.66472222	30	125	26	12076	264	-214	478	154	-35	177	-133	368	66	15	52	163	52	159	53	SAS3	592316	north	1
592316-6	1.915	0	36.421	61.664	1.915	98.085	50.66	-105.66472222	30	125	26	12076	264	-214	478	154	-35	177	-133	368	66	15	52	163	52	159	53	SAS3	592316	north	2
592316-7	2.782	0.491	25.01	71.718	3.273	96.728	50.66	-105.66472222	30	125	26	12076	264	-214	478	154	-35	177	-133	368	66	15	52	163	52	159	53	SAS3	592316	north	2
592316-9	3.56234	1.29331	22.35936	72.78499	4.85565	95.14435	50.66	-105.66472222	30	125	26	12076	264	-214	478	154	-35	177	-133	368	66	15	52	163	52	159	53	SAS3	592316	north	2
